faust_number,isbn,book_title,book_author
53652115,,Hajsværdet,Jan Kjær (f. 1971)
46208889,9788702276848,Tag gaden tilbage,"Sarah Engell,Sanne Munk Jensen"
47115523,,Flyvebogen - rejsen til monstrenes ø,Jakob Martin Strid
53975542,,Glasvinge,Katrine Engberg
46039696,,Om hundrede år,Anna Elisabeth Jessen
52297265,9788764473889,After. 1,Anna Todd
27367992,,Da Lille Madsens hus blæste væk,Jakob Martin Strid
47159288,9788726270266,Naja Münster - den store fuglefest,Line Kyed Knudsen
55131562,9788702273601,Vitello,Kim Fupz Aakeson
54170238,,Villads fra Valby som dyrepasser,Anne Sofie Hammer (f. 1972-02-05)
47661404,9788726084115,Mørket kalder,Michael Katz Krefeld
54884230,,Smaragdsliberen,Anne-Cathrine Riebnitzsky
39098504,9788726845150,Sallys far bliver youtuber,Thomas Brunstrøm
29572232,,Vitello passer Mor,Kim Fupz Aakeson
48015808,9788702300338,Vitello begynder i skole,Kim Fupz Aakeson
53462197,9788758828237,Klovn,Michael Kamp (f. 1974)
53681638,9788711863909,De 100 mest fantastiske fortidsdyr,Sebastian Klein
48144853,,Højsangen fra Palermovej,Annette Bjergfeldt
52045851,,Den eventyrlige rejse,Jan Kjær (f. 1971)
53284949,,Flunkernes Danmarkshistorie,"Joaquín Cera,Juan Carlos Ramis"
46510534,,Kniv,Jo Nesbø
54651813,9788726069433,6 af verdens farligste dyr,Sebastian Klein
48232841,,Hvor lyset er,Malene Ravn (f. 1971)
39263084,,Halvt i himlen,Lone Hørslev
46718984,,Dengang Sallys far var dreng,Thomas Brunstrøm
53428975,,Villads fra Valby taber en tand,Anne Sofie Hammer (f. 1972-02-05)
38590014,,Syersken fra Paris,Fiona Valpy
48039065,9788726148718,Sygeplejersken,Kristian Corfixen
47186757,,Soldier Blue,"Lotte Hammer,Søren Hammer"
53970621,9788763838245,Villads fra Valby holder jul,Anne Sofie Hammer (f. 1972-02-05)
39615584,,Aldrig,Ken Follett
50665879,9788702137859,Jeg er William,Kim Fupz Aakeson
48022456,,Aftentid og morgengry,Ken Follett
52815290,,Find Holger nu,Martin Handford
48763987,,Stemmer fra graven,Elly Griffiths
48275893,9788726473742,Mysteriet i Genbrugsen,Anna Grue
48727204,,Brombærvinter,Sarah Jio
52384842,,Engletræet,Lucinda Riley
52666430,,Viljetyven. Bog 1,Jan Kjær (f. 1971)
54167369,,Kastanjemanden,Søren Sveistrup
134005815,,"Pige, 1983",Linn Ullmann
48630111,,Voksnes løgnagtige liv,Elena Ferrante
28645406,9788702112023,Folk og røvere i Kardemomme by,Thorbjørn Egner
39490358,,Strik,Lærke Bagger
62108274,,Det vågne hjerte,Merete Pryds Helle
46520866,,Et rigtigt liv,Katrine Marie Guldager
62108347,,Ædru,Jesper Stein
62005424,,Skyggedalen,Viveca Sten
47498694,,Bare numser,Annika Leone
48343198,,Villa Havbrise,Caroline Säfstrand (f. 1972)
46938143,,Sallys far gider ikke være voksen,Thomas Brunstrøm
50507009,,Vitello gør en god gerning,Kim Fupz Aakeson
51378040,,Vitello tigger en masse slik,Kim Fupz Aakeson
48198376,,Et hav af minder,Fiona Valpy
48903576,,Kærlighed,
46632451,,Hende der må dø,David Lagercrantz
52090040,9788763843478,Villads fra Valby på sommerferie,Anne Sofie Hammer (f. 1972-02-05)
48698905,9788726355192,Sallys far har mandeinfluenza,Thomas Brunstrøm
46232917,,Urmagerens datter,Kate Morton
38835718,9788726845068,Ballet og ballade på slottet,Line Kyed Knudsen
46807464,9788763861960,Villads fra Valby får nye ideer,Anne Sofie Hammer (f. 1972-02-05)
29249326,9788763815796,Djævelens lærling,Kenneth Bøgh Andersen
28836082,9788702083156,Vitello går med kniv - og andre historier,Kim Fupz Aakeson
48839843,,Mytomanen,Sofie Sarenbrant
38972618,,Stormfald,Tove Alsterdal
53749097,9788771657098,Traktoren der så gerne ville sove,Carl-Johan Forssén Ehrlin
46132718,,Find Holger i eventyrland,Martin Handford
48487734,,I Guds rige,Anne-Grethe Bjarup Riis
48895999,9788758841076,"Bamser, bomber og brødristere","Kristoffer Jacob Andersen,Niki Topgaard"
52815312,,Find Holger - den eventyrlige rejse,Martin Handford
48926533,,Grøn aftensmad,Ann-Christine Hellerup Brandt
46718992,,Sallys far er sygt pinlig,Thomas Brunstrøm
46499581,,Her var en mand,Jeffrey Archer
46712838,,Sallys far bander (- ad helvede til),Thomas Brunstrøm
54467516,9788711963395,En dag vil vi grine af det,Thomas Korsgaard (f. 1995)
46972996,,Villads fra Valby har fødselsdag,Anne Sofie Hammer (f. 1972-02-05)
47039177,,Aftensmad,Ann-Christine Hellerup Brandt
47819873,,Hemmeligt begravet,Viveca Sten
62355026,,Violeta,Isabel Allende
52616417,,Villads fra Valbys uhyggelige halloween,Anne Sofie Hammer (f. 1972-02-05)
38399756,9788726706147,Sallys far er en dårlig taber,Thomas Brunstrøm
45937925,,Fodbold med flunkerne,"Joaquín Cera,Juan Carlos Ramis"
46369998,,Gurli Gris og den magiske enhjørning,
